,Name,Open,High,Low,Close,Volume,Change
2023-11-01,삼성전자,67500,68900,67300,68600,13775256,0.025411061285500747
2023-11-02,삼성전자,70000,70000,69400,69700,16350031,0.016034985422740622
2023-11-03,삼성전자,69700,70200,69500,69600,10322234,-0.0014347202295552641
2023-11-06,삼성전자,69800,70900,69300,70900,22228489,0.018678160919540332
2023-11-07,삼성전자,70600,70900,70000,70900,17228731,0.0
2023-11-08,삼성전자,71300,71400,69700,69900,12901310,-0.014104372355430161
2023-11-09,삼성전자,69900,70800,69600,70300,12301373,0.005722460658083017
2023-11-10,삼성전자,70000,70500,69500,70500,9684347,0.002844950213371167
2023-11-13,삼성전자,71300,71300,70300,70400,9246919,-0.0014184397163120588
2023-11-14,삼성전자,71000,71100,70600,70800,9567984,0.005681818181818121
2023-11-15,삼성전자,71600,72200,71500,72200,20148677,0.019774011299435124
2023-11-16,삼성전자,72500,73000,72300,72800,15860451,0.008310249307479145
2023-11-17,삼성전자,72300,73000,72300,72500,11494644,-0.004120879120879106
2023-11-20,삼성전자,72100,73000,72100,72700,10610157,0.0027586206896552667
2023-11-21,삼성전자,73100,73400,72700,72800,9712881,0.0013755158184318717
2023-11-22,삼성전자,72200,73000,71900,72800,11105143,0.0
2023-11-23,삼성전자,73000,73200,72200,72400,6775614,-0.005494505494505475
2023-11-24,삼성전자,72400,72600,71700,71700,6676685,-0.00966850828729282
2023-11-27,삼성전자,71500,72100,71100,71300,9113857,-0.00557880055788007
2023-11-28,삼성전자,71400,72700,71300,72700,13283081,0.019635343618513268
2023-11-29,삼성전자,72400,72800,72200,72700,9283933,0.0
2023-11-30,삼성전자,72700,72800,72200,72800,15783714,0.0013755158184318717
2023-11-01,LG에너지솔루션,389500,391500,375500,377500,348415,-0.02075226977950717
2023-11-02,LG에너지솔루션,383500,394000,380000,391500,485126,0.03708609271523189
2023-11-03,LG에너지솔루션,402500,404500,396500,402000,442376,0.026819923371647514
2023-11-06,LG에너지솔루션,451500,500000,435000,493500,1894906,0.2276119402985075
2023-11-07,LG에너지솔루션,488500,488500,440500,443000,825182,-0.10233029381965553
2023-11-08,LG에너지솔루션,446000,459500,437500,437500,367858,-0.01241534988713322
2023-11-09,LG에너지솔루션,439000,447000,426500,429000,348224,-0.01942857142857146
2023-11-10,LG에너지솔루션,418500,422000,411000,411000,290145,-0.04195804195804198
2023-11-13,LG에너지솔루션,413000,425000,408000,415500,258047,0.010948905109489093
2023-11-14,LG에너지솔루션,424500,444000,420500,437000,318068,0.05174488567990365
2023-11-15,LG에너지솔루션,460000,460000,446000,451500,354065,0.03318077803203656
2023-11-16,LG에너지솔루션,447500,449500,439000,442500,186484,-0.019933554817275767
2023-11-17,LG에너지솔루션,436000,437000,428000,432000,223340,-0.023728813559321993
2023-11-20,LG에너지솔루션,432000,445500,431500,444000,250872,0.02777777777777768
2023-11-21,LG에너지솔루션,450000,452000,444000,447000,158805,0.006756756756756799
2023-11-22,LG에너지솔루션,443000,446000,437000,442000,136059,-0.01118568232662187
2023-11-23,LG에너지솔루션,440500,450500,440500,448500,142291,0.014705882352941124
2023-11-24,LG에너지솔루션,449500,452500,442500,442500,134085,-0.013377926421404673
2023-11-27,LG에너지솔루션,446000,447500,432500,434500,154442,-0.01807909604519775
2023-11-28,LG에너지솔루션,436500,440500,434000,435000,140561,0.0011507479861909697
2023-11-29,LG에너지솔루션,440000,447500,434000,447000,203907,0.02758620689655178
2023-11-30,LG에너지솔루션,444000,454500,440500,454500,289478,0.016778523489932917
2023-11-01,SK하이닉스,117900,120300,117000,120300,2707225,0.03439380911435941
2023-11-02,SK하이닉스,123900,125400,123100,125300,3736208,0.04156275976724855
2023-11-03,SK하이닉스,126500,127200,125000,125800,2796773,0.003990422984836428
2023-11-06,SK하이닉스,125800,133000,125800,133000,6923192,0.05723370429252772
2023-11-07,SK하이닉스,132000,133500,129300,130400,4940510,-0.019548872180451093
2023-11-08,SK하이닉스,131600,132700,126600,127600,3328279,-0.021472392638036797
2023-11-09,SK하이닉스,127700,129800,126700,128000,2228081,0.0031347962382444194
2023-11-10,SK하이닉스,127900,130800,127000,130500,2656526,0.01953125
2023-11-13,SK하이닉스,133000,134100,131000,131800,2644761,0.009961685823754785
2023-11-14,SK하이닉스,133500,133500,130000,130000,2589591,-0.01365705614567525
2023-11-15,SK하이닉스,133900,134200,132100,134100,3616292,0.031538461538461515
2023-11-16,SK하이닉스,133000,134400,131200,132300,2456351,-0.01342281879194629
2023-11-17,SK하이닉스,131500,132000,129100,129900,2438499,-0.01814058956916098
2023-11-20,SK하이닉스,129300,132000,129300,131400,2004403,0.011547344110854452
2023-11-21,SK하이닉스,132000,133300,131600,132000,2439306,0.004566210045662045
2023-11-22,SK하이닉스,129600,131600,129500,131300,2128566,-0.005303030303030254
2023-11-23,SK하이닉스,130600,131400,129500,130100,1839516,-0.009139375476009182
2023-11-24,SK하이닉스,130600,131000,128000,128000,1925668,-0.016141429669485063
2023-11-27,SK하이닉스,129200,130700,128400,130700,2264243,0.02109374999999991
2023-11-28,SK하이닉스,132100,132100,129900,131400,2562226,0.00535577658760511
2023-11-29,SK하이닉스,130200,131000,128900,130400,2227853,-0.007610350076103556
2023-11-30,SK하이닉스,129900,133900,129900,133900,3625365,0.026840490797545913
2023-11-01,삼성바이오로직스,709000,715000,702000,703000,37889,-0.008462623413258097
2023-11-02,삼성바이오로직스,714000,717000,707000,712000,45967,0.012802275960170695
2023-11-03,삼성바이오로직스,715000,716000,701000,705000,36328,-0.0098314606741573
2023-11-06,삼성바이오로직스,713000,732000,710000,732000,80061,0.038297872340425476
2023-11-07,삼성바이오로직스,730000,734000,724000,732000,43799,0.0
2023-11-08,삼성바이오로직스,740000,745000,728000,734000,40089,0.002732240437158362
2023-11-09,삼성바이오로직스,734000,736000,723000,723000,35234,-0.01498637602179842
2023-11-10,삼성바이오로직스,718000,727000,716000,726000,24386,0.004149377593360981
2023-11-13,삼성바이오로직스,730000,730000,719000,720000,25062,-0.008264462809917328
2023-11-14,삼성바이오로직스,728000,728000,718000,720000,41556,0.0
2023-11-15,삼성바이오로직스,728000,732000,722000,732000,63594,0.016666666666666607
2023-11-16,삼성바이오로직스,732000,737000,728000,732000,27205,0.0
2023-11-17,삼성바이오로직스,735000,735000,723000,723000,27497,-0.012295081967213073
2023-11-20,삼성바이오로직스,716000,726000,715000,720000,34355,-0.004149377593360981
2023-11-21,삼성바이오로직스,724000,726000,719000,722000,32807,0.002777777777777768
2023-11-22,삼성바이오로직스,717000,723000,714000,721000,29844,-0.0013850415512465242
2023-11-23,삼성바이오로직스,719000,724000,717000,721000,23751,0.0
2023-11-24,삼성바이오로직스,721000,724000,708000,709000,46574,-0.01664355062413314
2023-11-27,삼성바이오로직스,709000,712000,700000,703000,52956,-0.008462623413258097
2023-11-28,삼성바이오로직스,712000,729000,705000,727000,77689,0.03413940256045511
2023-11-29,삼성바이오로직스,727000,732000,723000,729000,66261,0.0027510316368637433
2023-11-30,삼성바이오로직스,725000,728000,718000,725000,67312,-0.005486968449931462
2023-11-01,삼성전자우,54000,55800,54000,55600,1372043,0.03731343283582089
2023-11-02,삼성전자우,56500,56700,56100,56300,1122851,0.012589928057553879
2023-11-03,삼성전자우,56900,56900,56300,56600,792571,0.005328596802841812
2023-11-06,삼성전자우,57000,57400,56200,57200,1216282,0.010600706713780994
2023-11-07,삼성전자우,57100,57600,56700,57600,1491542,0.006993006993007089
2023-11-08,삼성전자우,58000,58000,56600,57100,682314,-0.00868055555555558
2023-11-09,삼성전자우,56700,57100,56500,56900,536810,-0.003502626970227629
2023-11-10,삼성전자우,56600,56700,56100,56700,722595,-0.0035149384885764245
2023-11-13,삼성전자우,57100,57500,56400,56400,736224,-0.005291005291005346
2023-11-14,삼성전자우,57000,57300,56800,57200,902486,0.014184397163120588
2023-11-15,삼성전자우,57700,57900,57400,57700,1212974,0.00874125874125875
2023-11-16,삼성전자우,57800,58000,57400,58000,1240745,0.005199306759098743
2023-11-17,삼성전자우,57700,58100,57500,57500,1248032,-0.008620689655172376
2023-11-20,삼성전자우,57500,57600,57100,57500,908672,0.0
2023-11-21,삼성전자우,57700,57800,57400,57500,815505,0.0
2023-11-22,삼성전자우,56700,57100,56700,56900,1012420,-0.01043478260869568
2023-11-23,삼성전자우,57400,57700,57100,57400,1338253,0.008787346221441172
2023-11-24,삼성전자우,57500,57800,57200,57200,744591,-0.0034843205574912606
2023-11-27,삼성전자우,57200,57600,56800,57000,742071,-0.0034965034965035446
2023-11-28,삼성전자우,57300,58000,57100,57900,1020352,0.015789473684210575
2023-11-29,삼성전자우,57800,57900,57500,57800,439370,-0.0017271157167529916
2023-11-30,삼성전자우,57600,58000,57300,57900,2131331,0.0017301038062282892
2023-11-01,현대차,170800,171500,169400,170300,450423,0.003535651149086716
2023-11-02,현대차,172000,175100,171500,172000,661435,0.009982384028185631
2023-11-03,현대차,175000,175400,172700,173400,431491,0.008139534883720989
2023-11-06,현대차,175400,177900,174900,177900,661383,0.02595155709342567
2023-11-07,현대차,177500,177500,174200,176100,532443,-0.010118043844856706
2023-11-08,현대차,177900,179000,174500,174800,395162,-0.007382169222032942
2023-11-09,현대차,174700,175700,174200,174700,384071,-0.0005720823798627261
2023-11-10,현대차,173800,175300,173500,173700,255065,-0.005724098454493398
2023-11-13,현대차,175000,175000,172800,173300,348523,-0.0023028209556706924
2023-11-14,현대차,174900,175900,173900,175200,329429,0.010963646855164377
2023-11-15,현대차,178700,182600,178600,182500,806741,0.04166666666666674
2023-11-16,현대차,182500,186400,181800,184800,432174,0.012602739726027323
2023-11-17,현대차,185900,185900,183500,184400,259919,-0.0021645021645021467
2023-11-20,현대차,184400,184900,182100,183600,277906,-0.004338394793926281
2023-11-21,현대차,184700,184800,183500,184200,252833,0.0032679738562091387
2023-11-22,현대차,182300,183400,181200,183000,219027,-0.006514657980456029
2023-11-23,현대차,183600,185000,182400,184800,240354,0.009836065573770592
2023-11-24,현대차,184600,185600,183900,184000,161656,-0.0043290043290042934
2023-11-27,현대차,184000,185700,184000,184900,188306,0.004891304347826031
2023-11-28,현대차,185900,185900,183600,185700,269820,0.004326663061114067
2023-11-29,현대차,185700,186500,184700,184800,298485,-0.004846526655896577
2023-11-30,현대차,184200,184900,182100,184300,574490,-0.0027056277056276556
2023-11-01,POSCO홀딩스,412500,418500,399500,402500,883988,-0.021871202916160404
2023-11-02,POSCO홀딩스,413500,427500,413000,427500,815086,0.06211180124223592
2023-11-03,POSCO홀딩스,444000,444000,428000,438000,872168,0.024561403508772006
2023-11-06,POSCO홀딩스,471000,527000,462000,522000,3341452,0.19178082191780832
2023-11-07,POSCO홀딩스,510000,511000,452000,464500,2357481,-0.11015325670498088
2023-11-08,POSCO홀딩스,456500,474000,453500,456500,938184,-0.017222820236813763
2023-11-09,POSCO홀딩스,460000,466000,444000,460500,798154,0.008762322015334112
2023-11-10,POSCO홀딩스,450000,455500,445000,447500,483230,-0.028230184581976125
2023-11-13,POSCO홀딩스,455000,462500,450000,452000,548925,0.010055865921787754
2023-11-14,POSCO홀딩스,459000,481000,458500,471500,892775,0.04314159292035402
2023-11-15,POSCO홀딩스,494000,494000,468500,474000,787775,0.005302226935312904
2023-11-16,POSCO홀딩스,470000,475000,465500,467000,477203,-0.014767932489451518
2023-11-17,POSCO홀딩스,459500,465000,453000,463500,499297,-0.00749464668094213
2023-11-20,POSCO홀딩스,463500,477000,459500,472000,462658,0.01833872707659112
2023-11-21,POSCO홀딩스,474000,477000,466500,474000,418594,0.004237288135593209
2023-11-22,POSCO홀딩스,468500,475500,467500,472000,314942,-0.00421940928270037
2023-11-23,POSCO홀딩스,470000,475000,467500,475000,295399,0.006355932203389925
2023-11-24,POSCO홀딩스,476500,481500,471500,472500,371597,-0.0052631578947368585
2023-11-27,POSCO홀딩스,473000,475000,466000,468000,328044,-0.00952380952380949
2023-11-28,POSCO홀딩스,468000,478000,467500,478000,417140,0.02136752136752129
2023-11-29,POSCO홀딩스,480000,485500,474000,483000,537203,0.010460251046025215
2023-11-30,POSCO홀딩스,481000,488500,477500,483000,562014,0.0
2023-11-01,NAVER,190000,191600,187000,187700,511161,0.0016008537886873508
2023-11-02,NAVER,191100,192700,190300,190800,633508,0.01651571656899309
2023-11-03,NAVER,195800,200500,193100,200500,1272388,0.050838574423480054
2023-11-06,NAVER,204500,207500,200000,205500,1000560,0.02493765586034913
2023-11-07,NAVER,202500,204000,197600,200500,782666,-0.024330900243308973
2023-11-08,NAVER,200000,202000,197400,197400,586525,-0.015461346633416473
2023-11-09,NAVER,197100,200500,196000,198200,592942,0.004052684903748771
2023-11-10,NAVER,196300,198500,193500,194700,674585,-0.017658930373360193
2023-11-13,NAVER,197400,199000,192500,192600,499910,-0.01078582434514641
2023-11-14,NAVER,194100,198900,194000,198600,478385,0.031152647975077885
2023-11-15,NAVER,203500,206000,202000,205500,846436,0.03474320241691853
2023-11-16,NAVER,204000,204500,200500,203000,425403,-0.012165450121654486
2023-11-17,NAVER,203000,204000,200000,202000,406874,-0.0049261083743842304
2023-11-20,NAVER,200500,203500,200000,202500,272327,0.0024752475247524774
2023-11-21,NAVER,205000,207500,204000,204500,463033,0.009876543209876631
2023-11-22,NAVER,202500,207500,200500,207500,357391,0.014669926650366705
2023-11-23,NAVER,206500,208000,204500,205500,345224,-0.009638554216867434
2023-11-24,NAVER,205500,207500,204000,205500,335280,0.0
2023-11-27,NAVER,205500,211000,205000,206000,538210,0.0024330900243310083
2023-11-28,NAVER,208000,210000,204500,207500,550801,0.00728155339805836
2023-11-29,NAVER,208500,209000,205500,207500,496563,0.0
2023-11-30,NAVER,206500,209500,206500,208000,642304,0.002409638554216942
2023-11-01,기아,77400,77900,76800,77400,754912,0.006501950585175553
2023-11-02,기아,77900,79700,77700,78500,1387393,0.01421188630490966
2023-11-03,기아,79200,79400,77200,77600,1314264,-0.01146496815286624
2023-11-06,기아,78700,79200,77900,79000,2083115,0.018041237113401998
2023-11-07,기아,78600,78700,77300,77500,1285076,-0.01898734177215189
2023-11-08,기아,77800,77900,77000,77000,1038502,-0.006451612903225823
2023-11-09,기아,77300,77900,77000,77500,837826,0.006493506493506551
2023-11-10,기아,77000,77900,77000,77000,660121,-0.006451612903225823
2023-11-13,기아,77600,77700,77000,77000,518786,0.0
2023-11-14,기아,77700,78500,77300,78200,1037469,0.01558441558441559
2023-11-15,기아,80100,82200,79900,81500,2150765,0.0421994884910486
2023-11-16,기아,81600,84500,81300,84500,2107692,0.036809815950920255
2023-11-17,기아,84100,85300,83600,85200,1271006,0.008284023668639007
2023-11-20,기아,84600,84900,83700,84400,973922,-0.009389671361502372
2023-11-21,기아,84400,84600,83600,83600,916802,-0.009478672985781977
2023-11-22,기아,83000,83400,82200,83100,730476,-0.005980861244019087
2023-11-23,기아,83100,84600,82700,84500,636051,0.016847172081829065
2023-11-24,기아,84500,84700,83700,84200,594791,-0.0035502958579881616
2023-11-27,기아,84200,85000,83900,84100,539991,-0.001187648456057011
2023-11-28,기아,84900,84900,83700,84600,774545,0.005945303210463715
2023-11-29,기아,84200,86200,84200,86000,1346329,0.016548463356973908
2023-11-30,기아,85800,86800,84700,85900,1896215,-0.0011627906976744429
2023-11-01,LG화학,440500,444000,429500,431000,352808,-0.020454545454545503
2023-11-02,LG화학,440000,458000,438000,455500,285900,0.05684454756380508
2023-11-03,LG화학,466000,474500,463500,471000,296159,0.034028540065861757
2023-11-06,LG화학,499000,529000,487500,521000,713254,0.10615711252653925
2023-11-07,LG화학,509000,512000,483500,492000,539187,-0.05566218809980805
2023-11-08,LG화학,496500,505000,474500,478000,276747,-0.028455284552845517
2023-11-09,LG화학,477000,482000,463500,467500,378393,-0.021966527196652708
2023-11-10,LG화학,460500,461000,450500,457500,192219,-0.021390374331550777
2023-11-13,LG화학,460000,466500,452000,453500,180132,-0.008743169398907069
2023-11-14,LG화학,464000,473000,460000,465000,196531,0.025358324145534628
2023-11-15,LG화학,483500,486000,474500,480000,261064,0.032258064516129004
2023-11-16,LG화학,477000,483500,473500,480000,141192,0.0
2023-11-17,LG화학,478000,489500,476500,484000,195198,0.008333333333333304
2023-11-20,LG화학,481000,503000,481000,493500,236740,0.019628099173553792
2023-11-21,LG화학,502000,505000,493500,501000,173343,0.015197568389057725
2023-11-22,LG화학,496000,508000,495000,504000,137990,0.0059880239520957446
2023-11-23,LG화학,505000,527000,505000,519000,339574,0.029761904761904656
2023-11-24,LG화학,527000,537000,513000,514000,269104,-0.009633911368015391
2023-11-27,LG화학,519000,520000,504000,506000,159379,-0.015564202334630295
2023-11-28,LG화학,509000,517000,502000,504000,195567,-0.0039525691699604515
2023-11-29,LG화학,507000,511000,495500,504000,326444,0.0
2023-11-30,LG화학,499000,506000,498000,501000,287538,-0.005952380952380931
2023-11-01,삼성SDI,430000,443500,422500,425500,389358,0.0
2023-11-02,삼성SDI,436500,454000,434500,451000,445802,0.059929494712103404
2023-11-03,삼성SDI,458000,465000,450500,454000,323288,0.006651884700665134
2023-11-06,삼성SDI,478000,522000,465500,506000,979940,0.1145374449339207
2023-11-07,삼성SDI,495000,495500,458000,466000,642838,-0.07905138339920947
2023-11-08,삼성SDI,470500,474500,450000,450000,380310,-0.03433476394849788
2023-11-09,삼성SDI,450000,454000,436500,439500,354047,-0.023333333333333317
2023-11-10,삼성SDI,427000,429500,418000,420000,387751,-0.04436860068259385
2023-11-13,삼성SDI,424000,430000,417000,417000,277544,-0.0071428571428571175
2023-11-14,삼성SDI,426500,441500,425500,435000,373809,0.043165467625899234
2023-11-15,삼성SDI,450000,452000,444000,448500,385615,0.03103448275862064
2023-11-16,삼성SDI,448500,461000,444500,455000,243428,0.01449275362318847
2023-11-17,삼성SDI,450000,452500,443000,444000,216245,-0.0241758241758242
2023-11-20,삼성SDI,446000,465000,446000,460500,237729,0.03716216216216206
2023-11-21,삼성SDI,470000,474000,461000,466000,305803,0.011943539630836053
2023-11-22,삼성SDI,462500,474500,462500,471500,214222,0.011802575107296098
2023-11-23,삼성SDI,471500,481000,467000,475000,191498,0.007423117709437932
2023-11-24,삼성SDI,476000,479500,463000,463000,250887,-0.025263157894736876
2023-11-27,삼성SDI,465000,466500,453000,453500,206628,-0.02051835853131745
2023-11-28,삼성SDI,456500,459500,452500,455000,219732,0.00330760749724357
2023-11-29,삼성SDI,460500,474500,454000,471500,245968,0.03626373626373636
2023-11-30,삼성SDI,471000,473500,463500,472000,383120,0.0010604453870626251
2023-11-01,포스코퓨처엠,240500,246000,231500,233500,968352,-0.012684989429175508
2023-11-02,포스코퓨처엠,242000,259500,240500,259500,1121030,0.11134903640256955
2023-11-03,포스코퓨처엠,271500,272500,260000,269000,1352525,0.03660886319845846
2023-11-06,포스코퓨처엠,320000,349500,307000,349500,3296384,0.2992565055762082
2023-11-07,포스코퓨처엠,348500,361000,300000,311000,3072294,-0.11015736766809725
2023-11-08,포스코퓨처엠,307000,324500,296500,300000,1381755,-0.03536977491961413
2023-11-09,포스코퓨처엠,305500,308500,282000,291500,1327132,-0.02833333333333332
2023-11-10,포스코퓨처엠,281500,284000,274000,277000,681972,-0.04974271012006859
2023-11-13,포스코퓨처엠,284500,289000,274000,274500,723014,-0.009025270758122761
2023-11-14,포스코퓨처엠,281500,302000,279000,295500,1268064,0.07650273224043724
2023-11-15,포스코퓨처엠,317500,320000,293000,297500,1120565,0.006768189509306355
2023-11-16,포스코퓨처엠,297000,303000,289000,293500,701953,-0.013445378151260456
2023-11-17,포스코퓨처엠,288000,293000,283000,286000,552165,-0.02555366269165249
2023-11-20,포스코퓨처엠,284500,305000,284000,300500,761493,0.05069930069930062
2023-11-21,포스코퓨처엠,303000,306500,295500,303500,584121,0.009983361064891838
2023-11-22,포스코퓨처엠,300000,313500,300000,303500,561263,0.0
2023-11-23,포스코퓨처엠,303500,307000,298500,306000,326827,0.008237232289950658
2023-11-24,포스코퓨처엠,310500,322000,303500,303500,753792,-0.008169934640522847
2023-11-27,포스코퓨처엠,308000,308000,299500,300000,410302,-0.011532125205930832
2023-11-28,포스코퓨처엠,300000,310000,300000,304500,405263,0.014999999999999902
2023-11-29,포스코퓨처엠,312500,328500,305000,327500,1061690,0.0755336617405582
2023-11-30,포스코퓨처엠,320500,328000,317500,324500,889073,-0.009160305343511421
2023-11-01,셀트리온,149700,150000,149100,149400,468825,-0.0006688963210702559
2023-11-02,셀트리온,149800,150000,149000,149800,542480,0.0026773761713521083
