Code,Name,상장일
122870,와이지엔터테인먼트,2011-11-23
090360,로보스타,2011-10-17
078520,에이블씨엔씨,2011-09-07
121600,나노신소재,2011-02-09
093320,케이아이엔엑스,2011-02-08
131290,티에스이,2011-01-05
900140,엘브이엠씨홀딩스,2010-11-30
033170,시그네틱스,2010-11-26
122690,서진오토모티브,2010-05-25
101330,모베이스,2010-02-04
082920,비츠로셀,2009-10-28
103230,에스앤더블류,2009-08-05
071970,STX중공업,2009-05-15
071670,에이테크솔루션,2009-04-17
101490,에스앤에스텍,2009-04-14
086900,메디톡스,2009-01-16
026940,부국철강,2008-10-14
101390,아이엠,2008-07-23
094840,슈프리마에이치큐,2008-07-11
047560,이스트소프트,2008-07-01
064480,브리지텍,2008-06-04
059210,메타바이오메드,2008-04-15
100840,SNT에너지,2008-02-22
096350,대창솔루션,2007-12-17
092070,디엔에프,2007-11-16
093640,케이알엠,2007-10-19
092200,디아이씨,2007-10-18
094940,푸른기술,2007-09-14
092600,앤씨앤,2007-06-26
001780,알루코,2007-06-07
091580,상신이디피,2007-05-23
091120,이엠텍,2007-05-02
093520,매커스,2007-02-12
089010,켐트로닉스,2007-01-17
090470,제이스텍,2007-01-10
093370,후성,2006-12-22
089890,코세스,2006-11-08
089790,제이티,2006-10-27
038060,루멘스,2006-08-08
039290,인포뱅크,2006-07-04
068760,셀트리온제약,2006-02-03
079370,제우스,2006-02-01
084370,유진테크,2006-01-17
077360,덕산하이메탈,2005-10-14
083930,아바코,2005-10-11
083310,엘오티베큠,2005-10-05
084690,대상홀딩스,2005-08-17
073240,금호타이어,2005-02-17
066910,손오공,2005-01-07
049950,미래컴퍼니,2005-01-04
052460,아이크래프트,2005-01-03
073010,케이에스피,2004-12-17
078600,대주전자재료,2004-12-10
051360,토비스,2004-11-19
023810,인팩,2004-09-21
077500,유니퀘스트,2004-08-05
067160,아프리카TV,2003-12-19
065510,휴비츠,2003-10-31
037270,YG PLUS,2003-08-01
041520,이라이콤,2003-07-04
072130,유엔젤,2003-07-01
011500,한농화성,2003-01-09
064090,웨스트라이즈,2002-12-17
058430,포스코스틸리온,2002-08-16
036010,아비코전자,2002-07-03
051160,지어소프트,2002-05-28
053980,오상자이엘,2002-04-09
060590,씨티씨바이오,2002-02-21
060370,LS마린솔루션,2002-02-15
053270,구영테크,2002-02-07
043260,성호전자,2001-11-29
044490,태웅,2001-11-08
035900,JYP Ent.,2001-08-30
053060,세동,2001-08-17
053450,세코닉스,2001-08-09
049520,유아이엘,2001-08-02
033790,스카이문스테크놀로지,2001-06-26
045660,에이텍,2001-05-24
042660,한화오션,2001-02-02
000250,삼천당제약,2000-10-04
039030,이오테크닉스,2000-08-24
045970,코아시아,2000-08-03
042420,네오위즈홀딩스,2000-06-27
041190,우리기술투자,2000-06-09
041510,에스엠,2000-04-27
038110,에코플라스틱,2000-03-23
038290,마크로젠,2000-02-22
036810,에프에스티,2000-01-18
036830,솔브레인홀딩스,2000-01-18
038010,제일테크노스,2000-01-11
037370,EG,2000-01-11
033640,네패스,1999-12-14
036200,유니셈,1999-12-10
035610,솔본,1999-08-13
033230,인성정보,1999-07-30
005160,동국산업,1999-06-25
033540,파라텍,1997-12-26
033100,제룡전기,1997-08-18
025890,한국주강,1997-07-18
011930,신성이엔지,1996-07-31
003160,디아이,1996-07-31
028300,HLB,1996-07-27
017800,현대엘리베이,1996-07-03
018500,동원금속,1995-11-10
011300,성안,1995-11-10
015750,성우하이텍,1995-11-04
025900,동화기업,1995-08-07
025320,시노펙스,1995-04-20
014100,메디앙스,1995-01-03
024910,경창산업,1994-12-29
024840,KBI메탈,1994-12-29
024120,KB오토시스,1994-12-07
024060,흥구석유,1994-12-07
016880,웅진,1994-11-05
012860,모베이스전자,1994-10-26
010120,LS ELECTRIC,1994-07-11
014470,부방,1994-02-25
010690,화신,1994-01-14
019540,일지테크,1992-11-03
001430,세아베스틸지주,1991-03-12
014580,태경비케이,1991-03-07
014530,극동유화,1991-01-31
012170,아센디오,1989-12-20
009420,한올바이오파마,1989-12-18